Gene	Annotation
tagG_2	Teichoic acid translocation permease protein TagG
racE	Glutamate racemase 1
ddpC	Glutathione transport system permease protein GsiD
fgs	Folylpolyglutamate synthase
spoIIIE	DNA translocase SpoIIIE
group_2033	hypothetical protein
pmt	putative dolichyl-phosphate-mannose--protein mannosyltransferase
group_2040	Polyketide cyclase / dehydrase and lipid transport
metN	Methionine import ATP-binding protein MetN
dnaJ_2	Chaperone protein DnaJ
murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_2137	HIT-like protein
nreC_2	Transcriptional regulatory protein LiaR
group_2142	pheromone autoinducer 2 transporter
rmpB	3-hexulose-6-phosphate isomerase
dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase
csdE	Fe-S metabolism associated domain protein
group_2149	AFG1-like ATPase
fliS	Flagellar protein FliS
pdxT	Glutamine amidotransferase subunit PdxT
dinB	DNA polymerase IV
cobB	NAD-dependent protein deacetylase
pimA_1	GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
sufD	FeS cluster assembly protein SufD
group_2170	hypothetical protein
group_2173	L-asparaginase II
merA	Mercuric reductase
viuB_2	Vibriobactin utilization protein ViuB
gsiB_2	Glutathione-binding protein GsiB precursor
group_2181	hypothetical protein
fpg1	Formamidopyrimidine-DNA glycosylase 1
arsB	Arsenical pump membrane protein
group_2187	hypothetical protein
purK	N5-carboxyaminoimidazole ribonucleotide synthase
group_2189	hypothetical protein
yhfK_1	putative sugar epimerase YhfK
group_2193	MaoC like domain protein
group_2197	hypothetical protein
ribE	Riboflavin synthase
rplQ	50S ribosomal protein L17
group_2202	hypothetical protein
group_2203	Trehalase
group_2204	Bax inhibitor 1 like protein
mngB_1	Mannosylglycerate hydrolase
zur	Zinc uptake regulation protein
albA	malonic semialdehyde reductase
group_2211	Membrane transport protein
group_2223	hypothetical protein
pspB	Putative phosphoserine phosphatase 2
group_2225	ABC-2 family transporter protein
pnuC	Nicotinamide riboside transporter PnuC
ytpA	Phospholipase YtpA
group_2229	DinB superfamily protein
fliP	Flagellar biosynthetic protein FliP precursor
ylmA_2	putative ABC transporter ATP-binding protein YlmA
hemC	Porphobilinogen deaminase
group_2239	hypothetical protein
dapC	putative N-succinyldiaminopimelate aminotransferase DapC
pheT	Phenylalanine--tRNA ligase beta subunit
hisC	Histidinol-phosphate aminotransferase
group_2246	hypothetical protein
cinA	Putative competence-damage inducible protein
group_2248	Epimerase family protein
dapB	4-hydroxy-tetrahydrodipicolinate reductase
ssuE	FMN reductase (NADPH)
rsmI	Ribosomal RNA small subunit methyltransferase I
group_2257	hypothetical protein
folE	GTP cyclohydrolase 1
group_2259	putative glycosyl hydrolase/MT2062
group_226	hypothetical protein
yedK	Putative SOS response-associated peptidase YedK
pth	Peptidyl-tRNA hydrolase
group_2270	hypothetical protein
group_2321	hypothetical protein
murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase
sepF	Cell division protein SepF
group_2324	YGGT family protein
recO	DNA repair protein RecO
def_2	Peptide deformylase
fabH_2	3-oxoacyl-[acyl-carrier-protein] synthase 3
fadB	Fatty acid oxidation complex subunit alpha
flgL	Flagellar hook-associated protein 3
group_2340	flagellar hook-basal body protein FliE
yscN	putative ATP synthase YscN
group_2344	flagellar basal body rod modification protein
group_2345	Phosphatidylinositol 3- and 4-kinase
entH	Proofreading thioesterase EntH
group_2353	hypothetical protein
thrB	Homoserine kinase
lysA	Diaminopimelate decarboxylase
pepE	Peptidase E
group_2359	hypothetical protein
kgd	Multifunctional 2-oxoglutarate metabolism enzyme
aroA	3-phosphoshikimate 1-carboxyvinyltransferase
group_2364	hypothetical protein
gltX	Glutamate--tRNA ligase
lrtA	Light-repressed protein A
group_2372	hypothetical protein
galE_2	UDP-glucose 4-epimerase
pimA_2	GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
accC	Biotin carboxylase
ulaB	Ascorbate-specific phosphotransferase enzyme IIB component
ptsI	Phosphoenolpyruvate-protein phosphotransferase
yhjE	Inner membrane metabolite transport protein YhjE
group_2384	hypothetical protein
group_2385	Aspartate aminotransferase
dhbC	Isochorismate synthase DhbC
alr_2	Alanine racemase
marR_3	MarR family protein
sugA_1	Trehalose transport system permease protein SugA
group_2392	heat shock protein GrpE
group_2393	putative oxidoreductase/MSMEI_2347
group_2406	hypothetical protein
nemA	N-ethylmaleimide reductase
kdpB	Potassium-transporting ATPase B chain
polA_1	DNA polymerase I, thermostable
group_2417	hypothetical protein
glpD_2	Aerobic glycerol-3-phosphate dehydrogenase
hemE	Uroporphyrinogen decarboxylase
ndx1	Diadenosine hexaphosphate hydrolase
ssb	Single-stranded DNA-binding protein
parB	Chromosome-partitioning protein Spo0J
fhaB	FHA domain-containing protein FhaB
apeB	putative M18 family aminopeptidase 2
group_2436	CAAX amino terminal protease self- immunity
dapL	LL-diaminopimelate aminotransferase
pcrA	DNA-dependent helicase II
group_2442	Phosphotransferase enzyme family protein
nudC	NADH pyrophosphatase
lon1	Lon protease 1
wbiB	dTDP-L-rhamnose 4-epimerase
rhtA	Threonine/homoserine exporter RhtA
dcp	Peptidyl-dipeptidase dcp
group_2448	hypothetical protein
entS_2	Enterobactin exporter EntS
aviRb	Putative TrmH family tRNA/rRNA methyltransferase
rsmA	Ribosomal RNA small subunit methyltransferase A
mntH	Divalent metal cation transporter MntH
araA	L-arabinose isomerase
group_2462	prephenate dehydrogenase
nudF	ADP-ribose pyrophosphatase
yutF	putative hydrolase YutF
rplY	50S ribosomal protein L25
bcsA	Cellulose synthase catalytic subunit [UDP-forming]
group_247	hypothetical protein
tyrA	T-protein
group_2474	hypothetical protein
group_2478	R3H domain protein
wbbL_4	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
corC_1	Magnesium and cobalt efflux protein CorC
pgaC_2	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
ykoE	Putative HMP/thiamine permease protein YkoE
pknB	Serine/threonine-protein kinase PknB
priA_1	Primosomal protein N'
def_1	Peptide deformylase
group_2575	DNA-binding protein
pbpB	Penicillin-binding protein PbpB
pyrD	Dihydroorotate dehydrogenase (quinone)
group_2579	Succinyl-diaminopimelate desuccinylase
ctaC	Cytochrome c oxidase subunit 2 precursor
opuCB_3	Glycine betaine/carnitine/choline transport system permease protein OpuCB
patA	Putative N-acetyl-LL-diaminopimelate aminotransferase
map_2	Methionine aminopeptidase 2
group_2587	hypothetical protein
pepA	Cytosol aminopeptidase
garP	Major Facilitator Superfamily protein
gyrB_2	DNA gyrase subunit B
group_2592	hypothetical protein
sseA_1	Putative thiosulfate sulfurtransferase SseA
ybaK_1	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
apt	Adenine phosphoribosyltransferase
dhaL	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
group_2599	hypothetical protein
tatC2	Sec-independent protein translocase protein TatCy
mshC	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
group_2604	VIT family protein
lgt	Prolipoprotein diacylglyceryl transferase
trpC	Indole-3-glycerol phosphate synthase
gmk	Guanylate kinase
yqgF	Putative Holliday junction resolvase
truB	tRNA pseudouridine synthase B
group_2610	ATPase family associated with various cellular activities (AAA)
pknK	Serine/threonine-protein kinase PknK
sigR	ECF RNA polymerase sigma factor SigR
cdsA	Phosphatidate cytidylyltransferase
plsC_1	1-acyl-sn-glycerol-3-phosphate acyltransferase
leuC	3-isopropylmalate dehydratase large subunit
atpF	ATP synthase subunit b
leuB	3-isopropylmalate dehydrogenase
manA	Mannose-6-phosphate isomerase
add2	Aminodeoxyfutalosine deaminase
trpS	Tryptophan--tRNA ligase
bmrA	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
acsA_1	Acetyl-coenzyme A synthetase
iolE_1	Inosose dehydratase
group_2635	bifunctional enoyl-CoA hydratase/phosphate acetyltransferase
group_2643	bifunctional RNase H/acid phosphatase
regX3_1	Sensory transduction protein regX3
marR_1	Multiple antibiotic resistance protein MarR
ribH	6,7-dimethyl-8-ribityllumazine synthase
yjcF_1	putative acyltransferase
group_2648	Methyltransferase domain protein
group_2649	hypothetical protein
znuC	Zinc import ATP-binding protein ZnuC
sdh_1	Serine 3-dehydrogenase
kdpA	Potassium-transporting ATPase A chain
ydhF	Oxidoreductase YdhF
orn	Oligoribonuclease
dagK	Diacylglycerol kinase
yqjI_2	Transcriptional regulator YqjI
group_2678	Xylose isomerase-like TIM barrel
yhdN_3	General stress protein 69
cwsA	hypothetical protein
group_2684	5'-nucleotidase
sugC	Trehalose import ATP-binding protein SugC
cca	CCA-adding enzyme
ddl_1	D-alanine--D-alanine ligase
yidD	Putative membrane protein insertion efficiency factor
group_2696	Haemolysin-III related
group_2697	hypothetical protein
pepPI	Xaa-Pro aminopeptidase 1
dnaE2_2	error-prone DNA polymerase
group_2700	hypothetical protein
arnC	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
ileS	Isoleucine--tRNA ligase
rsfS	Ribosomal silencing factor RsfS
group_2709	Phosphotransferase enzyme family protein
dbpA	putative ATP-dependent helicase Lhr
group_2719	hypothetical protein
yfkM	General stress protein 18
ulaF	L-ribulose-5-phosphate 4-epimerase UlaF
psaA	Manganese ABC transporter substrate-binding lipoprotein precursor
recQ_3	ATP-dependent DNA helicase RecQ
scpA	Segregation and condensation protein A
hisS	Histidine--tRNA ligase
crtN	hypothetical protein
purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase
ligA	DNA ligase
galP	Major Facilitator Superfamily protein
yghB	Inner membrane protein YghB
fliN	Flagellar motor switch protein FliN
mmgC	Acyl-CoA dehydrogenase
murC	UDP-N-acetylmuramate--L-alanine ligase
rluD	Ribosomal large subunit pseudouridine synthase D
hisD	Histidinol dehydrogenase
ctaF	Cytochrome c oxidase polypeptide 4
kstR	HTH-type transcriptional repressor KstR
leuS	Leucine--tRNA ligase
hemN	Oxygen-independent coproporphyrinogen-III oxidase 1
oppD_3	Oligopeptide transport ATP-binding protein OppD
group_2838	hypothetical protein
glnE	Glutamate-ammonia-ligase adenylyltransferase
group_2840	PAC2 family protein
group_2842	hypothetical protein
fliG	Flagellar motor switch protein FliG
group_2846	Flagellar FliJ protein
fliM	Flagellar motor switch protein FliM
flhB	Flagellar biosynthetic protein FlhB
ruvA	Holliday junction ATP-dependent DNA helicase RuvA
group_2859	preprotein translocase subunit YajC
deoC2	Deoxyribose-phosphate aldolase 2
dapE_1	putative succinyl-diaminopimelate desuccinylase
group_2864	Putative TrmH family tRNA/rRNA methyltransferase
glgA	Capsular glucan synthase
ctaA	Heme A synthase
pgl_1	6-phosphogluconolactonase
tpiA	Triosephosphate isomerase
pgk	Phosphoglycerate kinase
trpA	Tryptophan synthase alpha chain
carA	Carbamoyl-phosphate synthase small chain
group_2873	hypothetical protein
ywlC	Threonylcarbamoyl-AMP synthase
gsiC_4	Glutathione transport system permease protein GsiC
sdh_2	Serine 3-dehydrogenase
sadH	Putative oxidoreductase SadH
metX	Homoserine O-acetyltransferase
liaS_2	Sensor histidine kinase LiaS
iscS	Cysteine desulfurase
ybdK_2	Carboxylate-amine ligase YbdK
coaD	Phosphopantetheine adenylyltransferase
recG	ATP-dependent DNA helicase RecG
ddl_2	D-alanine--D-alanine ligase
pheP	Phenylalanine-specific permease
group_2892	putative RNA methyltransferase/cg2084
group_2893	inner membrane ABC transporter permease protein YjfF
tdk	Thymidine kinase
asd	Aspartate-semialdehyde dehydrogenase
tadA	tRNA-specific adenosine deaminase
gpx2	Hydroperoxy fatty acid reductase gpx2
group_2906	Alanine racemase
livF	High-affinity branched-chain amino acid transport ATP-binding protein LivF
group_2913	hypothetical protein
sucC	Succinyl-CoA ligase [ADP-forming] subunit beta
purN	Phosphoribosylglycinamide formyltransferase
msmE_1	Multiple sugar-binding protein precursor
group_2917	Membrane protein of unknown function
crtB	All-trans-phytoene synthase
galM_1	Aldose 1-epimerase
folD	Bifunctional protein FolD protein
group_2935	putative permease
pbpE	Penicillin-binding protein 4*
tesB	Acyl-CoA thioesterase 2
ydjE	Inner membrane metabolite transport protein YdjE
yidA	Sugar phosphatase YidA
serS	Serine--tRNA ligase
group_2947	Amino acid permease
hemL	Glutamate-1-semialdehyde 2,1-aminomutase
group_2954	putative heme peroxidase
group_2959	Major Facilitator Superfamily protein
group_2961	putative 5-formyltetrahydrofolate cyclo-ligase
cas9	CRISPR-associated endonuclease Cas9
senX3	Signal-transduction histidine kinase senX3
pabA	Aminodeoxychorismate/anthranilate synthase component 2
group_2970	exodeoxyribonuclease VII small subunit
gcvP	Glycine dehydrogenase (decarboxylating)
group_2973	hypothetical protein
group_2974	CDP-alcohol phosphatidyltransferase
rph	Ribonuclease PH
group_2976	hypothetical protein
degU_3	Transcriptional regulatory protein DegU
proP	Proline/betaine transporter
obg	GTPase Obg
proA	Gamma-glutamyl phosphate reductase
ilvE_1	Branched-chain-amino-acid aminotransferase
argF	Ornithine carbamoyltransferase
argD	Acetylornithine aminotransferase
argJ	Arginine biosynthesis bifunctional protein ArgJ
hflX	GTPase HflX
pgsA2	Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase 2
ptrA	Protease 3 precursor
lepB_2	Signal peptidase I
group_2998	spermidine synthase
group_2999	hypothetical protein
group_3000	hypothetical protein
treP	Alpha,alpha-trehalose phosphorylase
purM	Phosphoribosylformylglycinamidine cyclo-ligase
mca	Mycothiol S-conjugate amidase
mshA_3	D-inositol 3-phosphate glycosyltransferase
rsmH	Ribosomal RNA small subunit methyltransferase H
murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
leuA	2-isopropylmalate synthase
dppA_2	Periplasmic dipeptide transport protein precursor
gsiA_1	Glutathione import ATP-binding protein GsiA
deaD	ATP-dependent RNA helicase DeaD
group_3131	putative bifunctional UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase/UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
gyrA_2	DNA gyrase subunit A
dxs	1-deoxy-D-xylulose-5-phosphate synthase
sigD	RNA polymerase sigma-D factor
flgB	Flagellar basal body rod protein FlgB
flhA	Flagellar biosynthesis protein FlhA
group_3146	hypothetical protein
thrS	Threonine--tRNA ligase
group_3149	preprotein translocase subunit SecF
group_3150	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
sacB	Capsular polysaccharide phosphotransferase SacB
trpD	Anthranilate phosphoribosyltransferase
dhaK_1	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
gdhI	3-oxoacyl-[acyl-carrier-protein] reductase FabG
group_3156	Type III restriction enzyme, res subunit
group_3157	DNA polymerase III subunit epsilon
group_3158	glmZ(sRNA)-inactivating NTPase
polA_2	DNA polymerase I
trpE	Anthranilate synthase component 1
pyrB	Aspartate carbamoyltransferase
pyrR	Bifunctional protein pyrR
group_3165	hypothetical protein
hisN	Histidinol-phosphatase
rimM	Ribosome maturation factor RimM
ilvE_2	Branched-chain-amino-acid aminotransferase
rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase
punA	Purine nucleoside phosphorylase
pdp	Pyrimidine-nucleoside phosphorylase
group_3181	succinate dehydrogenase cytochrome b556 small membrane subunit
ribBA_1	Riboflavin biosynthesis protein RibBA
group_3183	phosphodiesterase YaeI
ackA	Acetate kinase
pta	Phosphate acetyltransferase
cbs	Putative cystathionine beta-synthase
group_3187	hypothetical protein
asnS	Asparagine--tRNA ligase
purH	Bifunctional purine biosynthesis protein PurH
group_3194	putative ABC transporter ATP-binding protein
group_3195	Acetyltransferase (GNAT) family protein
ycjP_1	Inner membrane ABC transporter permease protein YcjP
pat	Putative phenylalanine aminotransferase
znuB	High-affinity zinc uptake system membrane protein ZnuB
lacI_1	Lactose operon repressor
group_3206	prenyltransferase
group_3209	hypothetical protein
hspR	Putative heat shock protein HspR
trpF	N-(5'-phosphoribosyl)anthranilate isomerase
group_3216	ATP-dependent Clp protease adaptor protein ClpS
purU	Formyltetrahydrofolate deformylase
group_3221	hypothetical protein
group_3222	hypothetical protein
zwf_3	Glucose-6-phosphate 1-dehydrogenase
lplA	putative lipoate-protein ligase A
group_3225	Enterobactin exporter EntS
hemA	Glutamyl-tRNA reductase
yycB	putative transporter YycB
serC	Phosphoserine aminotransferase
cysS	Cysteine--tRNA ligase
ftsW_1	Lipid II flippase FtsW
ybeZ_1	PhoH-like protein
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
polC	DNA polymerase III PolC-type
uvrD2	ATP-dependent DNA helicase UvrD2
group_3245	Putative glutaredoxin.1/MT3292
ptrB	Protease 2
hrpB_2	ATP-dependent RNA helicase HrpB
nei1_1	Endonuclease 8 1
purD	Phosphoribosylamine--glycine ligase
cysK1	O-acetylserine sulfhydrylase
group_3277	hypothetical protein
pepO	Neutral endopeptidase
yfmO	Multidrug efflux protein YfmO
map_3	Methionine aminopeptidase 1
group_3386	hypothetical protein
group_3387	hypothetical protein
hrcA	Heat-inducible transcription repressor HrcA
ybeZ_2	PhoH-like protein
corC_2	Magnesium and cobalt efflux protein CorC
era	GTPase Era
dgt	Deoxyguanosinetriphosphate triphosphohydrolase
dnaG	DNA primase
dppB_2	Dipeptide transport system permease protein DppB
group_3400	Polyketide cyclase / dehydrase and lipid transport
amtB	Ammonia channel precursor
ruvC	Crossover junction endodeoxyribonuclease RuvC
group_3405	preprotein translocase subunit SecD
cpdA_1	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
group_3408	hypothetical protein
group_3409	GDSL-like Lipase/Acylhydrolase
group_3412	hypothetical protein
carB	Carbamoyl-phosphate synthase large chain
pyrC	Dihydroorotase
alaS	Alanine--tRNA ligase
atpH	ATP synthase subunit delta
hom	Homoserine dehydrogenase
tlyC_2	Hemolysin C
trmD	tRNA (guanine-N(1)-)-methyltransferase
rnc	Ribonuclease 3
bcp_2	Putative peroxiredoxin/MT2597
whiB	Transcriptional regulator WhiB
tmpC	Membrane lipoprotein TmpC precursor
rfbM	Mannose-1-phosphate guanylyltransferase RfbM
bcr_1	Bicyclomycin resistance protein
metB	Cystathionine gamma-synthase
qacA_1	Antiseptic resistance protein
lptB	Lipopolysaccharide export system ATP-binding protein LptB
group_3444	Putative multidrug export ATP-binding/permease protein
bkdA	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
idi	Isopentenyl-diphosphate Delta-isomerase
pepN_2	Aminopeptidase N
group_3460	hypothetical protein
folP1	Dihydropteroate synthase 1
pfp	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
hemH	Ferrochelatase
ydaF_2	Putative ribosomal N-acetyltransferase YdaF
gpr_2	L-glyceraldehyde 3-phosphate reductase
trxB_1	Thioredoxin reductase
rmuC	DNA recombination protein RmuC
group_3476	Fibronectin-binding protein (FBP)
group_3478	hypothetical protein
group_3479	Magnesium transporter MgtE
tagH_2	Teichoic acids export ATP-binding protein TagH
proB	Glutamate 5-kinase
pheS	Phenylalanine--tRNA ligase alpha subunit
infC	Translation initiation factor IF-3
group_3486	hypothetical protein
priA_2	Phosphoribosyl isomerase A
hisH	Imidazole glycerol phosphate synthase subunit HisH
helD	Helicase IV
efpA	putative MFS-type transporter EfpA
tatD	Tat-linked quality control protein TatD
group_3496	hypothetical protein
msmE_6	Multiple sugar-binding protein precursor
